date_reform,hourly_energy
2022051508,20.0
2022051509,59.00799942
2022051510,116.9919968
2022051511,194.0
2022051512,260.9920044
2022051513,308.9920044
2022051514,372.0
2022051515,395.0079956
2022051516,396.0
2022051517,396.0
2022051518,396.9920044
2022051519,396.9920044
2022051520,396.9920044
2022051521,396.9920044
2022051522,396.9920044
2022051523,396.9920044
2022051600,0.0
2022051601,0.0
2022051602,0.0
2022051603,0.0
2022051604,0.0
2022051605,0.0
2022051606,0.0
2022051607,4.0
2022051608,21.00799942
2022051609,35.00799942
2022051610,65.00800323
2022051611,117.0080032
2022051612,169.0079956
2022051613,215.0079956
2022051614,255.0079956
2022051615,276.0
2022051616,286.0159912
2022051617,289.0079956
2022051618,292.0
2022051619,292.0
2022051620,292.0
2022051621,292.0
2022051622,292.0
2022051623,292.0
2022051700,0.0
2022051701,0.0
2022051702,0.0
2022051703,0.0
2022051704,0.0
2022051705,0.0
2022051706,0.0
2022051707,4.0
2022051708,28.0
2022051709,66.01599884
2022051710,108.0
2022051711,163.0079956
2022051712,229.0079956
2022051713,292.0
2022051714,362.0159912
2022051715,420.0
2022051716,467.0079956
2022051717,494.0159912
2022051718,502.0159912
2022051719,502.0159912
2022051720,502.0159912
2022051721,502.0159912
2022051722,502.0159912
2022051723,502.0159912
2022051800,0.0
2022051801,0.0
2022051802,0.0
2022051803,0.0
2022051804,0.0
2022051805,0.0
2022051806,0.0
2022051807,2.992000103
2022051808,22.99200058
2022051809,46.99200058
2022051810,97.98400116
2022051811,144.0
2022051812,194.9920044
2022051813,230.9920044
2022051814,266.9920044
2022051815,328.0
2022051816,361.9840088
2022051817,372.9920044
2022051818,374.9920044
2022051819,376.0
2022051820,376.0
2022051821,376.0
2022051822,376.0
2022051823,376.0
2022051900,0.0
2022051901,0.0
2022051902,0.0
2022051903,0.0
2022051904,0.0
2022051905,0.0
2022051906,0.0
2022051907,4.0
2022051908,20.0
2022051909,24.99200058
2022051910,46.99200058
2022051911,81.98400116
2022051912,108.0
2022051913,189.9839935
2022051914,236.9920044
2022051915,268.0
2022051916,272.0
2022051917,272.9920044
2022051918,273.9840088
2022051919,273.9840088
2022051920,273.9840088
2022051921,273.9840088
2022051922,273.9840088
2022051923,273.9840088
2022052000,0.0
2022052001,0.0
2022052002,0.0
2022052003,0.0
2022052004,0.0
2022052005,0.0
2022052006,0.0
2022052007,3.007999897
2022052008,19.00799942
2022052009,47.00799942
2022052010,84.0
2022052011,142.0160065
2022052012,203.0079956
2022052013,238.0160065
2022052014,244.0
2022052015,246.0160065
2022052016,250.0160065
2022052017,256.0
2022052018,260.0
2022052019,260.0
2022052020,260.0
2022052021,260.0
2022052022,260.0
2022052023,260.0
2022052100,0.0
2022052101,0.0
2022052102,0.0
2022052103,0.0
2022052104,0.0
2022052105,0.0
2022052106,0.0
2022052107,2.016000032
2022052108,20.0
2022052109,61.00799942
2022052110,112.0
2022052111,159.0079956
2022052112,213.0079956
2022052113,269.0079956
2022052114,325.0079956
2022052115,332.0
2022052116,336.0
2022052117,338.0159912
2022052118,341.0079956
2022052119,341.0079956
2022052120,341.0079956
2022052121,341.0079956
2022052122,341.0079956
2022052123,341.0079956
2022052200,0.0
2022052201,0.0
2022052202,0.0
2022052203,0.0
2022052204,0.0
2022052205,0.0
2022052206,0.0
2022052207,2.0
